time,step,learning_rate,loss,accuracy
4030.8056540489197,386,0.0007514474,1.505131,0.54
4038.8965537548065,387,0.0007514474,1.4041634,0.52
4050.227026462555,388,0.0007514474,1.6660435,0.48
4062.4985735416412,389,0.0007514474,1.275059,0.58
4071.597715616226,390,0.0007514474,1.1065683,0.54
4083.1323993206024,391,0.0007514474,1.1000509,0.51
4092.0492026805878,392,0.0007514474,1.2383441,0.5
4100.149868488312,393,0.0007514474,1.3656465,0.56
4108.158379077911,394,0.0007514474,1.4933364,0.49
4119.676245212555,395,0.0007514474,0.8234627,0.51
4128.107529640198,396,0.0007514474,1.6610733,0.45
4136.050413370132,397,0.0007514474,1.2017809,0.53
4147.196266651154,398,0.0007514474,1.2920576,0.54
4159.006945371628,399,0.0007514474,0.93700135,0.57
4171.627984285355,400,0.0007514474,1.3752092,0.59
4181.94450211525,401,0.0007213895,1.1108403,0.6
4193.208357810974,402,0.0007213895,0.60777724,0.56
4204.127341508865,403,0.0007213895,1.1361594,0.55
4215.829895973206,404,0.0007213895,1.2778376,0.57
4227.517915487289,405,0.0007213895,1.1286421,0.52
4238.620206832886,406,0.0007213895,1.0108557,0.61
4246.551069736481,407,0.0007213895,0.56299126,0.58
4257.404636383057,408,0.0007213895,0.9538957,0.6
4268.262970924377,409,0.0007213895,0.9471642,0.52
4276.742550849915,410,0.0007213895,1.1273034,0.49
4287.921513080597,411,0.0007213895,1.1315106,0.56
4299.261105060577,412,0.0007213895,1.1074247,0.57
4307.358446598053,413,0.0007213895,1.4111975,0.6
4318.1666378974915,414,0.0007213895,0.934039,0.49
4329.544703960419,415,0.0007213895,1.1444393,0.55
4340.4424431324005,416,0.0007213895,1.3047582,0.5
4349.346204280853,417,0.0007213895,1.0641122,0.61
4360.014456033707,418,0.0007213895,1.0423043,0.57
4372.407995223999,419,0.0007213895,1.2863846,0.61
4382.894457578659,420,0.0007213895,1.1746383,0.57
4395.2643620967865,421,0.0007213895,1.0027097,0.61
4406.861524820328,422,0.0007213895,1.1240666,0.57
4416.064160823822,423,0.0007213895,1.0168803,0.52
4427.200988769531,424,0.0007213895,1.336136,0.53
4435.311289310455,425,0.0007213895,0.6804934,0.44
4447.874948978424,426,0.0007213895,1.9178747,0.46
4459.0478756427765,427,0.0007213895,2.2247593,0.49
4466.93186378479,428,0.0007213895,0.7437876,0.53
4478.144473791122,429,0.0007213895,0.7993027,0.57
4489.410928487778,430,0.0007213895,1.3639946,0.65
4498.777526378632,431,0.0007213895,1.5906777,0.67
4509.671105146408,432,0.0007213895,0.9586521,0.61
4521.803205013275,433,0.0007213895,1.1314156,0.6
4533.00212097168,434,0.0007213895,0.8841418,0.61
4545.302122354507,435,0.0007213895,1.1122358,0.57
4552.928149700165,436,0.0007213895,1.1816239,0.56
4563.620447397232,437,0.0007213895,1.2706375,0.52
4571.823388814926,438,0.0007213895,1.690667,0.54
4581.271512031555,439,0.0007213895,1.1123159,0.57
4588.785194635391,440,0.0007213895,0.7073821,0.63
4599.946898698807,441,0.0007213895,1.1091994,0.6
4608.414519548416,442,0.0007213895,1.3456937,0.62
4620.856901168823,443,0.0007213895,0.5865399,0.56
4629.583583116531,444,0.0007213895,0.82130975,0.58
4637.570808172226,445,0.0007213895,1.08037,0.61
4645.701154947281,446,0.0007213895,0.9562017,0.6
4653.496497869492,447,0.0007213895,0.73519707,0.57
4664.574876308441,448,0.0007213895,0.4143812,0.55
4674.400632143021,449,0.0007213895,0.7281487,0.6
4682.677046298981,450,0.0007213895,1.2010252,0.54
4694.446833372116,451,0.0006925339,0.9236612,0.64
4705.36133813858,452,0.0006925339,0.80198514,0.58
4716.579085111618,453,0.0006925339,0.8674804,0.63
4725.436142444611,454,0.0006925339,1.000433,0.54
4737.824547290802,455,0.0006925339,1.2308233,0.58
4750.020857095718,456,0.0006925339,0.6193347,0.6
4761.008517026901,457,0.0006925339,0.99522746,0.64
4768.929030656815,458,0.0006925339,1.1110251,0.61
4780.299422979355,459,0.0006925339,0.78169554,0.6
4789.534941196442,460,0.0006925339,0.9944273,0.54
4799.203701734543,461,0.0006925339,1.5041878,0.6
4810.294117450714,462,0.0006925339,0.97765124,0.63
4821.332813739777,463,0.0006925339,0.8116937,0.56
4832.373101711273,464,0.0006925339,0.9112854,0.55
4842.840843677521,465,0.0006925339,0.8110734,0.6
4854.987090587616,466,0.0006925339,1.2679272,0.61
4863.470309495926,467,0.0006925339,0.836034,0.63
4874.432419538498,468,0.0006925339,0.9811335,0.64
4882.906582355499,469,0.0006925339,0.7261988,0.57
4894.835721254349,470,0.0006925339,0.9058659,0.62
4904.100711584091,471,0.0006925339,0.79754025,0.64
4913.421885967255,472,0.0006925339,0.7858851,0.63
4924.04700922966,473,0.0006925339,0.96803147,0.62
4932.485221385956,474,0.0006925339,0.61232436,0.52
4939.952110290527,475,0.0006925339,0.82063925,0.57
4948.115620136261,476,0.0006925339,1.5378666,0.61
4959.219378709793,477,0.0006925339,0.74685854,0.68
4970.599863290787,478,0.0006925339,0.607075,0.55
4981.855616569519,479,0.0006925339,0.9751526,0.64
4993.204651832581,480,0.0006925339,0.9826941,0.61
5004.454951286316,481,0.0006925339,0.74003005,0.68
5013.531455516815,482,0.0006925339,0.7091764,0.67
5024.379385471344,483,0.0006925339,0.7136804,0.66
5036.686080217361,484,0.0006925339,0.96055,0.63
5047.547037124634,485,0.0006925339,0.6623788,0.66
5058.3212966918945,486,0.0006925339,0.5975603,0.54
5066.0350341796875,487,0.0006925339,1.2662114,0.52
5077.4558918476105,488,0.0006925339,0.98041993,0.58
5085.4821445941925,489,0.0006925339,0.66820085,0.5
5096.478370189667,490,0.0006925339,1.098164,0.65
5108.7773723602295,491,0.0006925339,1.1897817,0.55
5120.050989866257,492,0.0006925339,0.43295503,0.6
5130.683218955994,493,0.0006925339,1.0880966,0.57
