time,step,rank,num_samples,compute_time_worker,compute_time_master
254.07164883613586,34,1,264,6.451632976531982,2.1457672119140625e-05
254.07165694236755,34,2,44,6.5091986656188965,2.956390380859375e-05
254.07165932655334,34,3,286,6.466346502304077,3.1948089599609375e-05
254.07166147232056,34,4,286,6.6360814571380615,3.409385681152344e-05
254.07166385650635,34,5,286,6.320905923843384,3.647804260253906e-05
254.07166576385498,34,6,286,6.467322826385498,3.838539123535156e-05
254.07166981697083,34,7,286,6.408276796340942,4.2438507080078125e-05
254.07167196273804,34,8,286,6.638511896133423,4.458427429199219e-05
254.0716736316681,34,9,264,6.4444520473480225,4.6253204345703125e-05
254.0716757774353,34,10,220,6.667983055114746,4.839897155761719e-05
261.17003059387207,35,1,176,6.2564074993133545,2.193450927734375e-05
261.17003870010376,35,2,264,6.23923659324646,3.0040740966796875e-05
261.17004108428955,35,3,286,6.441274881362915,3.24249267578125e-05
261.17004346847534,35,4,286,6.6405816078186035,3.4809112548828125e-05
261.170045375824,35,5,286,6.502955675125122,3.6716461181640625e-05
261.1700475215912,35,6,286,6.314084768295288,3.886222839355469e-05
261.1700496673584,35,7,44,6.396708250045776,4.100799560546875e-05
261.1700530052185,35,8,286,6.368956804275513,4.4345855712890625e-05
261.1700551509857,35,9,176,6.273959398269653,4.649162292480469e-05
261.17005681991577,35,10,66,6.417886257171631,4.8160552978515625e-05
268.1519923210144,36,1,286,6.3292858600616455,2.1457672119140625e-05
268.1520006656647,36,2,286,6.418351650238037,2.9802322387695312e-05
268.15200328826904,36,3,286,6.458841323852539,3.24249267578125e-05
268.15200567245483,36,4,286,6.432854890823364,3.4809112548828125e-05
268.15200757980347,36,5,198,6.272192716598511,3.6716461181640625e-05
268.1520109176636,36,6,286,6.322020053863525,4.00543212890625e-05
268.1520128250122,36,7,264,6.5344321727752686,4.1961669921875e-05
268.1520149707794,36,8,286,6.351376533508301,4.410743713378906e-05
268.1520166397095,36,9,286,6.409107208251953,4.57763671875e-05
268.1520187854767,36,10,286,6.340744733810425,4.792213439941406e-05
275.30958700180054,37,1,286,6.332587718963623,2.0503997802734375e-05
275.30959463119507,37,2,264,6.326248645782471,2.8133392333984375e-05
275.30959701538086,37,3,286,6.66327977180481,3.0517578125e-05
275.30959963798523,37,4,198,6.256244659423828,3.314018249511719e-05
275.30960178375244,37,5,286,6.29446816444397,3.528594970703125e-05
275.30960392951965,37,6,286,6.296438455581665,3.743171691894531e-05
275.30960607528687,37,7,66,6.322448492050171,3.9577484130859375e-05
275.309609413147,37,8,264,6.292140483856201,4.291534423828125e-05
